Phrases,Emotions
check on your tongue,abusive
ass,abusive
bullshit,abusive
fuck,abusive
shit,abusive
bastard,abusive
dick head,abusive
Piss off,abusive
nerd,abusive
jerk,abusive
fool ,abusive
bugger,abusive
bloody hell,abusive
damn,abusive
stupid,abusive
idiot,abusive
creep,abusive
rubbish,abusive
dumb,abusive
wanker,abusive
shag,abusive
cock,abusive
gay,abusive
you bastard,abusive
go to hell,abusive
fuck you,abusive
motherfucker,abusive
you talking nonsense,abusive
are you stupid,abusive
you jerk,abusive
son of a bitch ,abusive
dumb,abusive
fucking nonsense ,abusive
hate you,abusive
dog,abusive
you fucking bullshit,abusive
you are such a badass,abusive
mad,abusive
robbery,Not_Prank
scared,Not_Prank
come quickly,Not_Prank
kidnap,Not_Prank
help me,Not_Prank
please save me,Not_Prank
difficult,Not_Prank
i am in danger,Not_Prank
tough,Not_Prank
what to do,Not_Prank
tense,Not_Prank
trouble,Not_Prank
fraught,Not_Prank
helpless,Not_Prank
demanding,Not_Prank
stole ,Not_Prank
agitated,Not_Prank
fight,Not_Prank
hard,Not_Prank
weapons,Not_Prank
stretch,Not_Prank
lost,Not_Prank
worried,Not_Prank
blackmail,Not_Prank
unable to relax,Not_Prank
dangerous ,Not_Prank
anxiety,Not_Prank
nervous,Not_Prank
edginess,Not_Prank
made me get,Not_Prank
frustrated,Not_Prank
warning,Not_Prank
unease,Not_Prank
frightened,Not_Prank
anxious,Not_Prank
threatened ,Not_Prank
bad feeling,Not_Prank
 what to do,Not_Prank
discomfort,Not_Prank
restlessness,Not_Prank
nerve racking,Not_Prank
exhaust,Not_Prank
troublesome,Not_Prank
burden,Not_Prank
brutal,Not_Prank
cruel,Not_Prank
stress,Not_Prank
disturbing,Not_Prank
onerous,Not_Prank
tedious,Not_Prank
jittery,Not_Prank
trying,Not_Prank
at breaking point,Not_Prank
problematic,Not_Prank
do something,Not_Prank
trauma,Not_Prank
panic,Not_Prank
molestation,Not_Prank
huge problem,Not_Prank
blame,Not_Prank
bother,Not_Prank
in the mind,Not_Prank
depression,Not_Prank
risk,Not_Prank
i am alone,Not_Prank
bully,Not_Prank
destroy,Not_Prank
dark,Not_Prank
insomnia,Not_Prank
offended,Not_Prank
desperate,Not_Prank
bad time,Not_Prank
grief,Not_Prank
regret,Not_Prank
unhappy,Not_Prank
forget,Not_Prank
culprit ,Not_Prank
snatched,Not_Prank
bite ,Not_Prank
murder,Not_Prank
jump off,Not_Prank
 lost,Not_Prank
chasing me,Not_Prank
afraid o,Not_Prank
staring,Not_Prank
 grabbed,Not_Prank
fretted,Not_Prank
fussed,Not_Prank
alarm,Not_Prank
care,Not_Prank
concern,Not_Prank
freak,Not_Prank
force,Not_Prank
urgent,Not_Prank
weight,Not_Prank
pressure,Not_Prank
worry,Not_Prank
load,Not_Prank
sweat,Not_Prank
identify,Not_Prank
focus,Not_Prank
jitter,Not_Prank
burnout,Not_Prank
mind,Not_Prank
a lot,Not_Prank
too much,Not_Prank
severe,Not_Prank
apart,Not_Prank
break,Not_Prank
effort,Not_Prank
shaken ,Not_Prank
worked,Not_Prank
panic,Not_Prank
fear,Not_Prank
peculiar,Not_Prank
chronic,Not_Prank
sudden,Not_Prank
intense,Not_Prank
major,Not_Prank
prolonged,Not_Prank
grave,Not_Prank
restless,Not_Prank
wild,Not_Prank
eager,Not_Prank
quick,Not_Prank
fierce,Not_Prank
feverish,Not_Prank
certain,Not_Prank
undue,Not_Prank
terrible,Not_Prank
risk,Not_Prank
crisis,Not_Prank
harm,Not_Prank
phobia,Not_Prank
strange,Not_Prank
overwhelmed,Not_Prank
scary,Not_Prank
exhaust,Not_Prank
trap,Not_Prank
slow,Not_Prank
negative,Not_Prank
fail,Not_Prank
avoid,Not_Prank
trigger,Not_Prank
problem,Not_Prank
treatment,Not_Prank
desperate,Not_Prank
turmoil,Not_Prank
cope,Not_Prank
uneasiness,Not_Prank
police,Not_Prank
threat,Not_Prank
bad,Not_Prank
wrong,Not_Prank
nightmare,Not_Prank
death,Not_Prank
shock,Not_Prank
resist,Not_Prank
offer,prank
reward,prank
prize,prank
gift,prank
 won,prank
send code,prank
order,prank
otp,prank
cash,prank
game,prank
play,prank
you  called me,prank
how are you,prank
conduct the test,prank
bonus,prank
won ticket,prank
i am fine,prank
delivery,prank
famous,prank
behalf of,prank
dress,prank
decorate,prank
joke,prank
show off,prank
drunk,prank
brilliant,prank
good,prank
well,prank
nice,prank
great,prank
poll,prank
form,prank
pen,prank
harmless,prank
comic,prank
plan,prank
meet,prank
oops,prank
congratulation,prank
smile,prank
thank you,prank
thanks,prank
welcome,prank
good moring,prank
good afternoon,prank
good night,prank
good evening,prank
pleasant,prank
darling,prank
trick,prank
surprise,prank
happy,prank
fun,prank
pleased,prank
bliss,prank
glad,prank
lovely,prank
yippee,prank
hooray,prank
merry,prank
awesome,prank
incredible,prank
cheer,prank
delight,prank
swag,prank
heaven,prank
boost,prank
success,prank
enjoy,prank
interesting,prank
impressive,prank
wow,prank
splendid,prank
gorgeous,prank
cute,prank
proud,prank
charm,prank
humor,prank
hilarious,prank
admire,prank
affection,prank
elegant,prank
luck,prank
dance,prank
sing,prank
sweet,prank
giddy,prank
love,prank
contest,prank
